Q6478447,CHEMBL1098659
Q6984655,CHEMBL2104682
Q7162004,CHEMBL1201198
Q7169514,CHEMBL1794794
Q7178320,CHEMBL1201376
Q7180982,CHEMBL448350
Q7181347,CHEMBL22498
Q7181402,CHEMBL1079576
Q7196412,CHEMBL101506
Q7197354,CHEMBL1474977
Q7199623,CHEMBL345235
Q7199672,CHEMBL357440
Q7226724,CHEMBL458248
Q7227206,CHEMBL43452
Q7237376,CHEMBL6995
Q7238250,CHEMBL175797
Q7238394,CHEMBL367463
Q7240235,CHEMBL2104741
Q7240518,CHEMBL1160714
Q7424290,CHEMBL46547
Q7438285,CHEMBL1235966
Q7514043,CHEMBL493481
Q7521885,CHEMBL1121
Q7553358,CHEMBL1746
Q7573806,CHEMBL38707
Q7577706,CHEMBL118865
Q7611023,CHEMBL487387
Q7616496,CHEMBL486556
Q7646304,CHEMBL189676
Q7683728,CHEMBL83616
Q7686198,CHEMBL348475
Q7687612,CHEMBL2107784
Q7697608,CHEMBL450745
Q7699074,CHEMBL1201182
Q7701660,CHEMBL281398
Q7706559,CHEMBL1231419
Q17081018,CHEMBL1742480
Q15277,CHEMBL226345
Q18216,CHEMBL25
Q37525,CHEMBL1222250
Q41576,CHEMBL120901
Q42038,CHEMBL539648
Q83320,CHEMBL1352
Q105522,CHEMBL792
Q108200,CHEMBL19429
Q113820,CHEMBL273459
Q130365,CHEMBL1534
Q135068,CHEMBL129208
Q150668,CHEMBL134658
Q150694,CHEMBL335900
Q150717,CHEMBL134537
Q150843,CHEMBL134994
Q151733,CHEMBL14568
Q155746,CHEMBL1200622
Q155883,CHEMBL32540
Q155890,CHEMBL1232306
Q155954,CHEMBL483
Q198504,CHEMBL129
Q198728,CHEMBL1171837
Q201090,CHEMBL335538
Q201370,CHEMBL266195
Q201872,CHEMBL715
Q202998,CHEMBL93
Q203174,CHEMBL468
Q203618,CHEMBL561
Q204030,CHEMBL324794
Q204178,CHEMBL55060
Q204182,CHEMBL318196
Q204602,CHEMBL1200471
Q204714,CHEMBL1200679
Q206844,CHEMBL1114
Q207442,CHEMBL177367
Q207843,CHEMBL1200689
Q209205,CHEMBL1143
Q209257,CHEMBL317634
Q209332,CHEMBL45462
Q209373,CHEMBL1183
Q209381,CHEMBL119596
Q209384,CHEMBL1162485
Q209388,CHEMBL31637
Q209389,CHEMBL115586
Q209445,CHEMBL30909
Q209450,CHEMBL278164
Q209460,CHEMBL45345
Q209463,CHEMBL448500
Q209474,CHEMBL662
Q209727,CHEMBL82293
Q238382,CHEMBL48217
Q238474,CHEMBL601
Q238477,CHEMBL144730
Q238532,CHEMBL395915
Q239569,CHEMBL682
Q239778,CHEMBL253376
Q243547,CHEMBL742
Q245489,CHEMBL153
Q251347,CHEMBL54
Q252251,CHEMBL1200658
Q254296,CHEMBL480
Q258591,CHEMBL799
Q259015,CHEMBL1743884
Q259930,CHEMBL374975
Q260286,CHEMBL1170047
Q262602,CHEMBL523927
Q262610,CHEMBL28338
Q263713,CHEMBL57
Q281082,CHEMBL5
Q282440,CHEMBL280998
Q285790,CHEMBL16502
Q286112,CHEMBL478
Q286126,CHEMBL511015
Q287415,CHEMBL205596
Q288051,CHEMBL525778
Q288104,CHEMBL373123
Q288119,CHEMBL2104514
Q288266,CHEMBL1200456
Q288875,CHEMBL59732
Q288927,CHEMBL539669
Q309747,CHEMBL13859
Q366482,CHEMBL93077
Q368995,CHEMBL24441
Q369648,CHEMBL1076211
Q384111,CHEMBL269277
Q384295,CHEMBL457
Q384794,CHEMBL511667
Q385937,CHEMBL449317
Q386119,CHEMBL1201607
Q392418,CHEMBL231047
Q393336,CHEMBL150
Q402607,CHEMBL53566
Q402719,CHEMBL8320
Q619603,CHEMBL1096562
Q629632,CHEMBL192627
Q631829,CHEMBL290194
Q632384,CHEMBL24640
Q632405,CHEMBL1106
Q656269,CHEMBL14130
Q729213,CHEMBL1484
Q754374,CHEMBL322314
Q867332,CHEMBL1200473
Q905664,CHEMBL282724
Q905731,CHEMBL401410
Q905835,CHEMBL18442
Q905868,CHEMBL229975
Q906062,CHEMBL35033
Q906102,CHEMBL440
Q907160,CHEMBL1201199
Q907480,CHEMBL134561
Q908009,CHEMBL1201588
Q908865,CHEMBL30707
Q909387,CHEMBL278462
Q945537,CHEMBL404216
Q973741,CHEMBL117
Q977151,CHEMBL26726
Q1227228,CHEMBL1200891
Q1292703,CHEMBL1095607
Q1956404,CHEMBL440895
Q1956953,CHEMBL314010
Q2020694,CHEMBL95855
Q2118147,CHEMBL272939
Q2341200,CHEMBL12318
Q2443432,CHEMBL339223
Q20994,CHEMBL56367
Q23767,CHEMBL1200539
Q27335,CHEMBL308187
Q28128,CHEMBL334491
Q28747,CHEMBL213053
Q31030,CHEMBL312448
Q139307,CHEMBL1222
Q144085,CHEMBL1423
Q52858,CHEMBL135626
Q58356,CHEMBL1113
Q58376,CHEMBL726
Q58397,CHEMBL629
Q58713,CHEMBL415
Q585309,CHEMBL126582
Q590622,CHEMBL47100
Q517109,CHEMBL774
Q521173,CHEMBL551466
Q524995,CHEMBL1738
Q2701638,CHEMBL411070
Q2701912,CHEMBL565
Q2705171,CHEMBL48310
Q2708007,CHEMBL145233
Q3121121,CHEMBL385517
Q3122143,CHEMBL323354
Q3132229,CHEMBL508272
Q3388129,CHEMBL451050
Q3388802,CHEMBL487611
Q3389064,CHEMBL31836
Q3391724,CHEMBL472698
Q3408685,CHEMBL49732
Q3409943,CHEMBL242741
Q3410841,CHEMBL506814
Q3419354,CHEMBL1201352
Q3429577,CHEMBL8828
Q3599043,CHEMBL1165011
Q3650244,CHEMBL1256686
Q3658672,CHEMBL1200991
Q3733839,CHEMBL1531
Q3740628,CHEMBL1224557
Q3742404,CHEMBL918
Q3742414,CHEMBL15677
Q4222241,CHEMBL260191
Q5303681,CHEMBL1200753
Q7033077,CHEMBL405862
Q7037489,CHEMBL517427
Q7049170,CHEMBL415914
Q7050291,CHEMBL463164
Q7050960,CHEMBL1201146
Q7053200,CHEMBL1052
Q7067311,CHEMBL1697689
Q7116108,CHEMBL245807
Q7118739,CHEMBL94015
Q7119490,CHEMBL15313
Q7119895,CHEMBL16410
Q7119896,CHEMBL177611
Q7124122,CHEMBL319669
Q7409294,CHEMBL2104504
Q7424106,CHEMBL73416
